车款,表显里程,排量,变速箱,全款价
大众 迈腾 2011款 1.8TSI DSG舒适型,8万公里,1.8T,自动,5.88万
日产 轩逸 2012款 经典 1.6XE 手动舒适版,5.47万公里,1.6L,自动,4.55万
大众 朗逸 2011款 1.6L 手动品雅版,13.9万公里,1.6L,手动,2.98万
别克 凯越 2008款 1.6LE-AT,5万公里,1.6L,自动,2.00万
本田 雅阁 2008款 2.0L EX,12.49万公里,2.0L,自动,6.18万
现代ix35 2013款 2.0L 自动四驱舒适型GL 国IV,3.59万公里,2.0L,自动,8.00万
宝马3系 2011款 320i 时尚型,9.8万公里,2.0L,自动,7.68万
大众 途观 2010款 1.8TSI 自动两驱风尚版,8.7万公里,1.8T,自动,7.18万
丰田 RAV4 2009款 2.4L 自动豪华版,17.3万公里,2.4L,自动,7.68万
标致408 2010款 2.0L 自动豪华版,9.34万公里,2.0L,自动,3.38万
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,4.8万公里,2.0T,自动,25.58万
奥迪Q5 2012款 2.0TFSI 进取型,12万公里,2.0T,自动,13.40万
大众 速腾 2009款 1.6L 手动时尚型真皮版,17.1万公里,1.6L,手动,2.95万
奥迪Q5 2010款 2.0TFSI 技术型,13万公里,2.0T,自动,9.20万
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,10.29万公里,1.6T,自动,7.38万
长城C30 2010款 1.5L 手动豪华型,6万公里,1.5L,手动,1.50万
现代 全新胜达 2013款 2.4L 自动两驱智能型,8.33万公里,2.4L,自动,10.20万
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,10万公里,2.0L,自动,6.58万
别克 英朗 2011款 GT 1.8L 自动时尚版真皮款,13万公里,1.8L,自动,3.98万
雪佛兰 科鲁兹 2013款 1.8L SE AT,6.8万公里,1.8L,自动,4.38万
道奇 酷威 2013款 2.4L 两驱尊尚版(进口),6.1万公里,2.4L,自动,12.20万
本田 雅阁 2010款 2.0L EX,16.5万公里,2.0L,自动,5.90万
大众 途观 2010款 2.0TSI 自动四驱菁英版,12.35万公里,2.0T,自动,8.58万
奥迪Q5 2013款 40 TFSI 技术型,12万公里,2.0T,自动,12.98万
别克 英朗 2013款 GT 1.8L 自动时尚版,7.1万公里,1.8L,自动,5.10万
雪佛兰 科鲁兹 2013款 1.6L SL天窗版 MT,11.3万公里,1.6L,手动,2.90万
奥迪A6L 2011款 2.0 TFSI 自动舒适型,10万公里,2.0T,自动,8.80万
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,5.6万公里,2.0T,自动,10.38万
丰田 凯美瑞 2009款 200G 豪华版,14.3万公里,2.0L,自动,6.00万
大众 途观 2012款 2.0TSI 自动四驱旗舰版,8.37万公里,2.0T,自动,8.80万
陆风X7 2015款 2.0T 全景尊贵版,7.05万公里,2.0T,自动,5.88万
雪佛兰 景程 2010款 1.8 致真版 MT,20万公里,1.8L,手动,1.60万
斯柯达 明锐 2012款 1.6L 自动逸俊版,7.9万公里,1.6L,自动,5.20万
丰田 卡罗拉 2007款 1.6L 自动GL,5.8万公里,1.6L,自动,4.80万
马自达6 2008款 2.0L 自动时尚型,8万公里,2.0L,自动,4.50万
宝马X3 2014款 xDrive20i X设计套装(进口),6.7万公里,2.0T,自动,24.50万
斯巴鲁 力狮 2010款 2.5i豪华版,10.7万公里,2.5L,自动,7.80万
福特 福克斯 2011款 两厢 1.8L 自动时尚型,7.32万公里,1.8L,自动,2.99万
现代 悦动 2008款 1.6L AT GL,15.22万公里,1.6L,自动,2.58万
雪佛兰 迈锐宝 2013款 2.0L 自动经典版,10万公里,2.0L,自动,6.38万
