房源信息,户型大小,价格
单间|电梯房一号线泽民地铁天一广场鼓楼地铁直达带独立,主卧(4室)20㎡,1388元/月                
单间|特价！！银泰城附近，独卫朝南带阳台可以做饭才700不,次卧(6室)18㎡,700元/月                
整租|无中介直租下应紫郡大三居出租，两厅两卫水电民用包物业,3室125㎡,3900元/月                
整租|新潮塘北苑45平单身公寓简单装修家电齐全拎包入住包物,1室42㎡,1700元/月                
整租|万达广场金地澜悦三室精装好房出租,3室116㎡,5400元/月                
整租|出租市中心三小旁3室精装修看了满意,3室124.00㎡,2800元/月                
整租|兰墅公寓新装出租,2室100㎡,2800元/月                
整租|世纪城翠湖苑3室2厅2卫1700元月电梯房,3室139㎡,1700元/月                
整租|绿城明园秋月苑2室2厅2卫4500元月豪华装修,2室100.00㎡,4500元/月                
整租|盛世华庭3室家电齐全拎包入住租金2300元随时看房,3室85㎡,2300元/月                
整租|出租鸣北小区高层，三间朝南，诚心客户价格适当可小刀。,2室90㎡,2600元/月                
整租|房子楼层好位置佳，精装家电齐全3100元包物业包车位,3室130㎡,3100元/月                
单间|免中介东方城香梅家园轻纺城精装修配套齐全拎,主卧(3室)35㎡,800元/月                
单间|甬兴新村印象城宝龙广场万象汇拎包入住随时看房,主卧(3室)25㎡,999元/月                
单间|无中介全女生精装朝南单间三室合租电梯高层随,主卧(3室)20㎡,1000元/月                
整租|地铁口青枫雅苑3室2900元月115平精装修,3室115㎡,2900元/月                
整租|保利附近精装修现代化单身公寓出租押一付一拎包入住家电,1室40㎡,1300元/月                
整租|众安银泰城品质公寓豪华装修朝东阳光充足自带商业体,1室45㎡,2100元/月                
单间|保利印间南三期，独卫，特价出租，,次卧(4室)25㎡,1300元/月                
单间|腾日大厦对面锦绣江南全新装修朝南主卧带独卫出租,主卧(3室)24㎡,1050元/月                
整租|九龙三期三室两厅一卫精装修家电齐全，拎包入住租金19,3室125㎡,1900元/月                
整租|无中介，和丰创意广场附近整租三居室，楼层好，精装修，,3室90㎡,2999元/月                
整租|龙湖滟澜海岸(中区)2室2厅1卫1800元月8,2室95.55㎡,1800元/月                
整租|明月佳苑2室2厅1卫3200元月配套齐全南北,2室105㎡,3200元/月                
整租|户型方正采光好简单干净拎包入住,1室30㎡,1600元/月                
整租|姚江上上城电梯房精装首租二室二厅,2室90㎡,2700元/月                
整租|出租峙山庄园两室两厅两卫，房东自住房，干净整洁，随时,2室90㎡,3800元/月                
整租|青林湾六期，2室，精装修，领包入住，楼层好,2室80㎡,2500元/月                
整租|万达旁名仕花园喜鹊公馆单身公寓1900元拎包入住包物,1室43.00㎡,1900元/月                
整租|世茂湾88平方精装3500一月，生活便利拎包入住。,2室88㎡,3500元/月                
整租|精装修公寓直租，免中介，押一付一，家电齐全，拎包入住,1室30㎡,1300元/月                
单间|甬城和庭4室1厅2卫,次卧(4室)18㎡,700元/月                
整租|（个人免中介费）南部商务区万达广场旁荣安星空里豪华公,1室52㎡,2300元/月                
整租|锦苑西巷精装清爽二房城租2500元一月,2室70㎡,2500元/月                
整租|可短租！押一付一，无物业费，下应128广场附近精装修,1室18㎡,900元/月                
整租|栖海花园1室1厅1卫,1室50㎡,1700元/月                
整租|个人免中介家乐福天伦广场和丰创意广场附近南北通透,1室30㎡,1200元/月                
整租|蓝色东方精装3房，距离三官堂地铁站近，新小区万科物业,3室90㎡,3500元/月                
单间|房东急租联丰北区临近联南花园丽园馨都金地小区,次卧(4室)28㎡,700元/月                
整租|市中心急租三房有钥匙随时看房,3室124.54㎡,2800元/月                
整租|免中介费南部商务区银泰城罗蒙环球城对面星空里,1室43㎡,2300元/月                
整租|慈溪1室0厅1卫,1室35㎡,500元/月                
整租|免中介万达旁精装公寓出租,1室35㎡,1600元/月                
整租|免中介荣安星空里城市摩尔南部商务区罗蒙环球城,1室55㎡,2300元/月                
整租|近天一鼓楼月湖精装两室无中介迎凤社区游河巷可随时,2室65㎡,2300元/月                
整租|银珠明园精装3室2厅2卫南北通透城租4200元月,3室120㎡,4200元/月                
整租|洛兹小区1室1厅1卫1250元月30平免中介物,1室30㎡,1250元/月                
整租|慈溪大润发1室厅1卫,1室35㎡,750元/月                
整租|高桥银亿朗境，4房，精装修。,4室107㎡,2300元/月                
整租|东城名苑豪装136平方三室二厅二卫4200每月，拎包,3室135㎡,4200元/月                
整租|地铁三号线南部商务区罗蒙环球城单身公寓押一付一,1室35㎡,1900元/月                
